Unnamed: 0,image_id,street,citi,n_citi,bed,bath,sqft,price,img_f1,img_f2,img_f3,img_f4,img_f5
998,998,6028 Country Lane,"Quartz Hill, CA",295,3,2.0,1440,343000,0.0,0.8389675,0.0,0.0,0.054412596
6764,6764,14908 Landerwood Drive,"Corona, CA",87,3,2.1,2367,579900,0.0,0.75458354,0.0,0.0,0.62653923
14428,14428,1236 Glines Avenue,"Santa Maria, CA",336,4,2.0,1710,454900,0.0,0.6271483,0.0,0.0,0.46733055
48,48,4400 Vista Mesa Drive,"Bakersfield, CA",24,4,3.0,1848,219900,0.0,0.33911574,0.0,0.0,0.3539369
12040,12040,629 Rosvall Dr,"Fallbrook, CA",116,3,2.0,1700,565000,0.0,1.6031373,0.0,0.0,1.499977
356,356,1380 Rexford Avenue,"Pasadena, CA",274,4,3.0,1874,1150000,0.0,1.0176389,0.0,0.0,2.0825262
13940,13940,2348 Bald Eagle,"San Miguel, CA",329,6,4.0,3030,650000,0.0,1.4902384,0.0,0.0,2.5193756
2437,2437,451 E Italia Street,"Covina, CA",91,4,3.0,2109,750000,0.0,1.618814,0.0,0.0,7.152451
241,241,4321 Logan Trail,"Frazier Park, CA",122,4,3.0,2746,379000,0.0,0.79613477,0.0,0.0,7.7667894
6573,6573,3728 Camino Parocela,"Palm Springs, CA",266,3,2.0,1714,539000,0.0,0.0,0.0,0.0,0.0
8561,8561,413 Redwood Lane,"Crestline, CA",92,4,3.0,1554,259500,0.0,2.6572106,0.0,0.0,3.522646
14724,14724,1513 Twin Tides Place,"Oxnard, CA",261,5,4.0,3691,1549900,0.0,1.9318023,0.0,0.0,1.6756914
6254,6254,5727 Balboa Way,"Riverside, CA",310,3,2.0,1540,439900,0.0,1.4304439,0.0,0.0,1.9713572
5864,5864,9067 Oakmount Boulevard,"Desert Hot Springs, CA",101,3,2.0,1749,319900,0.0,1.1550853,0.0,0.0,5.734103
107,107,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2.0,1735,295000,0.0,0.7728834,0.0,0.0,0.52113473
9254,9254,11568 Oakwood Court,"Yucaipa, CA",413,3,2.0,1837,398000,0.0,1.4030007,0.0,0.0,1.9693904
9664,9664,15157 Crazy Horse Avenue,"Fontana, CA",119,4,2.1,2765,559900,0.0,4.420898,0.0,0.0,8.900753
3332,3332,131 Character,"Irvine, CA",157,4,4.1,3507,1515990,0.0,0.29147664,0.0,0.0,0.17020938
468,468,4841 Minden Place,"Los Angeles, CA",207,4,3.1,2433,1449000,0.0,0.2903984,0.0,0.0,0.31665313
5539,5539,2880 W Nicolet Street,"Banning, CA",26,3,1.1,1241,249000,0.0,1.0699515,0.0,0.0,0.51635903
4259,4259,11812 Tunstall Street,"Garden Grove, CA",124,3,2.0,1343,738000,0.0,1.3718266,0.0,0.0,2.3779917
13809,13809,857 Pearl Drive,"Arroyo Grande, CA",18,3,2.0,1446,545000,0.0,1.3936255,0.0,0.0,1.8555665
5888,5888,77180 Michigan Drive,"Palm Desert, CA",265,2,2.0,1365,310000,0.0,1.2379329,0.0,0.0,1.7370888
514,514,12454 RUBENS Avenue,"Los Angeles, CA",207,4,4.0,2100,1550000,0.0,0.9114663,0.0,0.0,1.3720781
7521,7521,13835 Camp Rock Street,"Corona, CA",87,5,3.2,4529,759000,0.0,2.0444357,0.0,0.0,2.3922288
4097,4097,527 W Tribella Court,"Santa Ana, CA",331,4,3.0,2133,680000,0.0,1.3647518,0.0,0.0,1.6840694
3617,3617,19771 Inverness Lane,"Huntington Beach, CA",148,1,1.0,600,365000,0.0,0.85139626,0.0,0.0,0.34325415
4173,4173,13291 Edinburgh Drive,"Westminster, CA",402,4,2.0,1326,749900,0.0,0.9750053,0.0,0.0,1.980406
2355,2355,17324 Sarita Avenue,"Canyon Country, CA",63,5,4.0,2800,699000,0.0,1.471537,0.0,0.0,1.7209066
4694,4694,3768 Vista Mendoza,"Yorba Linda, CA",412,3,2.1,2334,842900,0.0,0.3865088,0.0,0.0,0.4493797
9855,9855,1522 Sun River Street,"Upland, CA",381,4,2.0,1615,619000,0.0,1.9456687,0.0,0.0,1.5473274
9436,9436,1487 S Granite Avenue,"Ontario, CA",258,4,2.0,1554,460000,0.0,0.44981185,0.0,0.0,0.0
9641,9641,15964 Ludlow Lane,"Fontana, CA",119,5,3.0,2992,529999,0.0,1.1239964,0.0,0.0,2.1814468
4665,4665,113 Lavender,"Lake Forest, CA",186,3,2.1,1600,818000,0.0,1.0080465,0.0,0.0,1.846249
10638,10638,43625 Wolf Road,"Big Bear, CA",38,4,4.1,4130,999900,0.0,1.5562686,0.0,0.0,2.2279027
13022,13022,12178 Lilac Heights Ct,"Valley Center, CA",384,4,2.1,2600,835888,0.0,0.9517841,0.0,0.0,0.525533
8397,8397,72912 Manana Drive,"29 Palms, CA",0,3,2.0,1280,220000,0.0,1.0755509,0.0,0.0,2.3118782
8143,8143,4925 Lone Acres Court,"Rancho Cucamonga, CA",299,5,4.1,4494,1358000,0.0,1.5240641,0.0,0.0,1.754827
7376,7376,12826 Shorthorn Drive,"Corona, CA",87,5,4.1,3216,749990,0.0,1.3260794,0.0,0.0,1.6226735
9158,9158,1267 Via Antibes,"Redlands, CA",304,4,3.0,2041,419000,0.0,0.64087886,0.0,0.0,0.23603986
5547,5547,356 N 21st Street,"Banning, CA",26,2,1.1,1178,265000,0.0,1.3853977,0.0,0.0,2.243131
13924,13924,1778 13th Street,"Los Osos, CA",209,3,2.0,1364,629900,0.0,1.2457548,0.0,0.0,1.5781955
6629,6629,16460 Everetts Way,"Riverside, CA",310,3,3.0,2059,524900,0.0,0.5253054,0.0,0.0,1.3146358
3736,3736,904 N Zeyn Street,"Anaheim, CA",12,2,3.0,1140,510000,0.0,0.3395638,0.0,0.0,0.29166362
564,564,154 N LE DOUX Road,"Beverly Hills, CA",35,3,2.0,1984,1799000,0.0,0.5064918,0.0,0.0,1.7691662
55,55,2737 Hempstead Lane,"Bakersfield, CA",24,3,2.0,1499,233000,0.0,0.6719743,0.0,0.0,1.8429338
